,Predicted Price(in Lakhs),Name,Age(in years),Max Power(in BHP),KM Driven,datetime
0,16.2724,Toyota Fortuner 4x4 AT,7.0,168.5,290000,"11/29/2022, 08:48:11"
1,16.11500000000001,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,7.0,171.5,60100,"11/29/2022, 09:14:16"
2,6.580799999999994,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,5.0,103.52,48000,"11/29/2022, 09:26:00"
3,6.512999999999998,Maruti Baleno Vxi - BSIII,5.0,94.0,22000,"11/29/2022, 15:06:03"
4,10.955500000000002,Hyundai Creta 1.6 VTVT AT SX Plus,5.0,121.3,50000,"11/30/2022, 14:57:46"
5,16.11500000000001,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,7.0,171.5,60100,"12/01/2022, 14:58:17"
6,8.444699999999994,Mahindra Scorpio S6 7 Seater,7.0,120.0,60000,"12/02/2022, 14:55:45"
7,5.9896,Hyundai Grand i10 CRDi SportZ Edition,5.0,70.0,22000,"12/03/2022, 15:00:44"
8,16.11500000000001,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,7.0,171.5,60100,"12/04/2022, 14:54:59"
9,6.176207936507938,Maruti Swift Dzire VDI,5.0,74.0,20000,"12/05/2022, 14:56:36"
10,11.023300000000004,Maruti XL6 Alpha AT,6.0,103.2,7669,"12/11/2022, 19:38:35"
11,6.580799999999994,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,5.0,103.52,48000,"12/11/2022, 19:48:39"
12,6.948300000000005,Hyundai Verna 1.6 CRDi SX,5.0,126.2,52000,"12/11/2022, 19:55:27"
13,5.364299999999998,Mahindra Scorpio 2009-2014 SLE 7S BSIV,7.0,120.0,80000,"12/11/2022, 19:59:32"
14,5.832100000000001,Ford Aspire 1.5 TDCi Titanium,5.0,99.0,53500,"12/12/2022, 10:22:30"
15,8.444699999999994,Mahindra Scorpio S6 7 Seater,7.0,120.0,60000,"12/12/2022, 10:22:31"
16,8.444333333333331,Honda City i-VTEC S,5.0,117.3,35000,"12/12/2022, 10:32:15"
17,11.036400000000013,Hyundai Elantra 2.0 SX,5.0,149.92,21000,"12/12/2022, 10:39:02"
18,12.579499999999998,Hyundai Verna VTVT 1.6 AT SX Option,5.0,121.3,4000,"12/12/2022, 12:42:52"
19,5.417500000000002,Maruti Ertiga VXI,7.0,93.7,26000,"12/13/2022, 01:53:00"
20,6.650666666666659,Maruti Ciaz ZDi Plus,5.0,88.5,48767,"12/13/2022, 12:41:45"
21,6.2555,Skoda Rapid 1.5 TDI Elegance Plus Black Package,5.0,103.52,65785,"12/14/2022, 01:50:02"
22,5.525299999999999,Renault Duster 110PS Diesel RxL Explore,5.0,108.45,61125,"12/14/2022, 12:42:37"
23,56.26166666666667,BMW 5 Series 530d M Sport,5.0,261.49,20000,"12/15/2022, 01:50:46"
24,56.26166666666667,BMW 5 Series 530d M Sport,5.0,261.49,20000,"12/15/2022, 12:42:16"
25,8.667499999999997,Maruti Vitara Brezza VDi,5.0,88.5,16000,"12/16/2022, 01:39:35"
26,7.012499999999997,Maruti SX4 S Cross DDiS 320 Zeta,5.0,118.0,130000,"12/16/2022, 12:38:06"
27,5.8027999999999995,Hyundai i20 Sportz 1.2,5.0,81.83,54625,"12/17/2022, 01:39:35"
28,7.012499999999997,Maruti SX4 S Cross DDiS 320 Zeta,5.0,118.0,130000,"12/17/2022, 12:36:35"
29,5.8066000000000075,Maruti Ciaz ZXi Option,5.0,91.2,44000,"12/18/2022, 01:42:10"
30,7.012499999999997,Maruti SX4 S Cross DDiS 320 Zeta,5.0,118.0,130000,"12/18/2022, 12:37:07"
