full_name,selling_price,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,age
Toyota Land Cruiser 200 V8 Petrol,92.0,Dealer,80000,First Owner,Petrol,Automatic,9.0,4461.0,285.4,8.0,6
Land Rover Range Rover Sport 3.0 D SE,92.0,Dealer,9500,First Owner,Diesel,Automatic,12.65,2993.0,296.0,5.0,5
Toyota Land Cruiser Prado VXL,87.5,Dealer,36000,First Owner,Diesel,Automatic,11.0,2982.0,170.63,7.0,3
BMW 7 Series 730Ld DPE Signature,85.0,Individual,50000,First Owner,Diesel,Automatic,16.77,2993.0,261.49,5.0,4
BMW 7 Series 730Ld DPE Signature,85.0,Dealer,19000,First Owner,Diesel,Automatic,17.66,2993.0,355.37,4.0,4
BMW M Series X5 M,85.0,Dealer,26724,First Owner,Petrol,Automatic,9.0,4395.0,575.0,5.0,7
Jaguar XJ 3.0L Portfolio,85.0,Dealer,13146,First Owner,Diesel,Automatic,10.5,2993.0,271.23,4.0,6
BMW X6 xDrive 40d M Sport,84.0,Dealer,34000,First Owner,Diesel,Automatic,15.87,2993.0,308.43,5.0,5
BMW Z4 M40i,82.5,Dealer,2000,First Owner,Petrol,Automatic,11.29,2998.0,335.0,2.0,2
BMW 7 Series 730Ld Eminence,82.0,Dealer,16000,First Owner,Diesel,Automatic,16.77,2993.0,261.49,5.0,4
Volvo XC 90 D5 Inscription,81.95,Dealer,9000,First Owner,Diesel,Automatic,17.2,1969.0,235.0,7.0,2
Mercedes-Benz S-Class S 350d Connoisseurs Edition,81.5,Dealer,6500,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,5
Porsche Boxster S,81.0,Dealer,5000,First Owner,Petrol,Manual,14.08,3436.0,315.0,2.0,3
BMW X5 xDrive 30d xLine,81.0,Dealer,10000,First Owner,Diesel,Automatic,13.38,2993.0,265.0,5.0,3
BMW X5 xDrive 30d xLine,81.0,Dealer,10351,First Owner,Diesel,Automatic,13.38,2993.0,265.0,5.0,3
Bentley Continental Flying Spur BSIV,81.0,Dealer,30000,First Owner,Petrol,Automatic,8.6,5998.0,552.0,4.0,11
Volvo XC 90 D5 Inscription,80.0,Dealer,9500,First Owner,Diesel,Automatic,17.2,1969.0,235.0,7.0,2
Lexus RX 450h Luxury,80.0,Dealer,17272,First Owner,Petrol,Automatic,18.8,3456.0,259.0,5.0,6
Mercedes-Benz GLS 2016-2020 350d 4MATIC,80.0,Dealer,15000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,4
BMW X5 xDrive 30d xLine,79.85,Dealer,7000,First Owner,Diesel,Automatic,13.38,2993.0,265.0,5.0,3
BMW 7 Series 730Ld Design Pure Excellence,79.75,Dealer,19100,First Owner,Diesel,Automatic,16.77,2993.0,261.49,5.0,4
BMW X5 xDrive 30d xLine,79.0,Individual,19000,First Owner,Diesel,Automatic,13.38,2993.0,265.0,5.0,3
Porsche Cayenne 3.6 S Platinum Edition,78.0,Dealer,36000,First Owner,Petrol,Automatic,12.5,3604.0,420.0,5.0,5
Land Rover Range Rover 3.0 Vogue,78.0,Dealer,75000,First Owner,Diesel,Automatic,13.33,2993.0,244.1,5.0,9
Mercedes-Benz GL-Class 43 AMG Coupe,75.95,Dealer,11500,First Owner,Petrol,Automatic,11.5,2996.0,362.0,5.0,5
BMW 7 Series Signature 730Ld,75.0,Dealer,21119,First Owner,Diesel,Automatic,16.46,2993.0,258.0,5.0,5
